
|K201ES      |88.1  MHz |FX |201 |ND  |-                   |D  |-  |LIC    |RIPLEY/BLYTHE            |CA |US |BMLFT  -20071024AAI |0.05   kW |0.05   kW |78.0    |0.0     |90670      |N |33 |37 |3.00  |W |114 |46 |21.00 |CALVARY CHAPEL OF TWIN FALLS, INC.                                          |   0.00 km |   0.00 mi |  0.00 deg |243.   m|243.0  m|30889     |-       |-       |30.    m|1216129   |
|KZSC        |88.1  MHz |FS |201 |ND  |-                   |B  |-  |LIC    |SANTA CRUZ               |CA |US |BXLED  -20090930AAC |0.9    kW |0.9    kW |128.5   |128.5   |66310      |N |37 |0  |10.00 |W |122 |3  |4.00  |THE REGENTS OF THE UNIVERSITY OF CALIFORNIA                                 |   0.00 km |   0.00 mi |  0.00 deg |273.   m|273.0  m|-         |-       |-       |20.    m|1336132   |
|KLWG        |88.1  MHz |FM |201 |ND  |-                   |B  |-  |LIC    |LOMPOC                   |CA |US |BLED   -20110210ABD |2.5    kW |2.5    kW |571.0   |571.0   |90485      |N |34 |54 |36.00 |W |120 |11 |10.00 |CALVARY CHAPEL OF LOMPOC                                                    |   0.00 km |   0.00 mi |  0.00 deg |1010.  m|1010.0 m|-         |-       |-       |20.    m|1412774   |
|K201IH      |88.1  MHz |FX |201 |DA  |-                   |D  |-  |LIC    |NAPA                     |CA |US |BLFT   -20110224AAF |0.     kW |0.01   kW |0.0     |0.0     |91413      |N |38 |15 |51.00 |W |122 |12 |54.00 |CALVARY CHAPEL OF TWIN FALLS, INC.                                          |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|537.   m|16151     |295.    |1026403 |30.    m|1418826   |
|NEW         |88.1  MHz |FM |201 |DA  |-                   |A  |-  |CP     |MECCA                    |CA |US |BNPED  -20071019AVN |2.     kW |2.     kW |12.0    |12.0    |171299     |N |33 |29 |1.90  |W |115 |51 |54.00 |HOLY CROSS RADIO                                                            |   0.00 km |   0.00 mi |  0.00 deg |88.    m|88.0   m|104298    |0.      |1058803 |88.3   m|1420093   |
|KLWG        |88.1  MHz |FS |201 |ND  |-                   |B  |-  |CP     |LOMPOC                   |CA |US |BXPED  -20110805ABS |0.066  kW |0.066  kW |328.0   |328.0   |90485      |N |34 |36 |13.00 |W |120 |29 |17.00 |CALVARY CHAPEL OF LOMPOC                                                    |   0.00 km |   0.00 mi |  0.00 deg |487.   m|487.0  m|-         |-       |1226574 |17.    m|1438563   |
|KMUE        |88.1  MHz |FM |201 |DA  |-                   |C1 |-  |LIC    |EUREKA                   |CA |US |BLED   -20120321ADK |10.    kW |10.    kW |494.0   |494.0   |55429      |N |40 |43 |39.00 |W |123 |58 |17.00 |REDWOOD COMMUNITY RADIO                                                     |   0.00 km |   0.00 mi |  0.00 deg |882.   m|882.0  m|100932    |0.      |1224088 |74.    m|1492692   |
|K201AJ      |88.1  MHz |FX |201 |ND  |-                   |D  |-  |LIC    |SOUTH LAKE TAHOE, ET     |CA |US |BLFT   -20120612AAG |0.019  kW |0.019  kW |-151.1  |0.0     |8353       |N |38 |55 |0.00  |W |119 |57 |44.00 |CALIFORNIA STATE UNIVERSITY, SACRAMENTO                                     |   0.00 km |   0.00 mi |  0.00 deg |2012.  m|2012.0 m|104146    |-       |1244461 |93.    m|1503229   |
|KRTM        |88.1  MHz |FM |201 |DA  |-                   |B1 |-  |LIC    |YUCCA VALLEY             |CA |US |BLED   -20120917ACT |0.15   kW |0.114  kW |774.0   |774.0   |91840      |N |34 |2  |16.00 |W |116 |48 |48.00 |PENFOLD COMMUNICATIONS, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |2437.  m|2437.0 m|108452    |0.      |-       |21.    m|1518476   |
|KDUP        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |CEDARVILLE               |CA |US |BLED   -20121109ADU |1.     kW |1.     kW |-32.0   |-32.0   |172273     |N |41 |38 |13.00 |W |120 |5  |28.00 |OPENSKYRADIO CORP.                                                          |   0.00 km |   0.00 mi |  0.00 deg |1514.  m|1514.0 m|-         |-       |-       |15.    m|1524314   |
|981015TA    |88.1  MHz |FX |201 |DA  |-                   |D  |-  |APP    |RINCON                   |CA |US |BMPFT  -20121214AAB |0.     kW |0.01   kW |0.0     |0.0     |91871      |N |33 |18 |30.00 |W |116 |50 |53.00 |CALVARY CHAPEL OF TWIN FALLS, INC.                                          |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|1738.  m|16130     |270.0   |-       |25.    m|1533744   |
|KNSQ        |88.1  MHz |FM |201 |ND  |-                   |C2 |-  |LIC    |MOUNT SHASTA             |CA |US |BLED   -20130107ADJ |1.2    kW |1.2    kW |475.6   |475.6   |62957      |N |41 |13 |19.00 |W |122 |18 |27.00 |OREGON ST BOARD OF HIGHER ED FOR THE UNIV OF OREGON                         |   0.00 km |   0.00 mi |  0.00 deg |1708.  m|1708.0 m|-         |-       |-       |25.3   m|1536151   |
|K201FV      |88.1  MHz |FX |201 |ND  |-                   |D  |-  |LIC    |TRUCKEE                  |CA |US |BLFT   -20130124ABL |0.     kW |0.065  kW |0.0     |0.0     |87063      |N |39 |19 |33.80 |W |120 |11 |55.40 |BOARD OF REGENTS OF THE NEVADA SYSTEM OF HIGHER EDUCATION                   |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|1824.  m|110960    |-       |-       |18.    m|1536484   |
